distance_m,x_m,y_m,terrain_z_m,altitude_z_m,agl_m
0.000000,8000.000000,4800.000000,8.400000,88.400000,80.000000
25.000000,8025.000000,4800.000000,8.350000,88.350000,80.000000
50.000000,8050.000000,4800.000000,8.300000,88.300000,80.000000
75.000000,8075.000000,4800.000000,8.250000,88.250000,80.000000
100.000000,8100.000000,4800.000000,8.200000,88.200000,80.000000
125.000000,8125.000000,4800.000000,8.150000,88.150000,80.000000
150.000000,8150.000000,4800.000000,8.100000,88.100000,80.000000
175.000000,8175.000000,4800.000000,8.050000,88.050000,80.000000
200.000000,8200.000000,4800.000000,8.000000,88.000000,80.000000
225.000000,8225.000000,4800.000000,7.950000,87.950000,80.000000
250.000000,8250.000000,4800.000000,7.900000,87.900000,80.000000
275.000000,8275.000000,4800.000000,7.850000,87.850000,80.000000
300.000000,8300.000000,4800.000000,7.800000,87.800000,80.000000
325.000000,8325.000000,4800.000000,7.750000,87.750000,80.000000
350.000000,8350.000000,4800.000000,7.700000,87.700000,80.000000
375.000000,8375.000000,4800.000000,7.650000,87.650000,80.000000
400.000000,8400.000000,4800.000000,7.600000,87.600000,80.000000
425.000000,8425.000000,4800.000000,7.550000,87.550000,80.000000
450.000000,8450.000000,4800.000000,7.500000,87.500000,80.000000
475.000000,8475.000000,4800.000000,7.450000,87.450000,80.000000
500.000000,8500.000000,4800.000000,7.400000,87.400000,80.000000
525.000000,8525.000000,4800.000000,7.350000,87.350000,80.000000
550.000000,8550.000000,4800.000000,7.300000,87.300000,80.000000
575.000000,8575.000000,4800.000000,7.250000,87.250000,80.000000
600.000000,8600.000000,4800.000000,7.200000,87.200000,80.000000
625.000000,8625.000000,4800.000000,7.150000,87.150000,80.000000
650.000000,8650.000000,4800.000000,7.100000,87.100000,80.000000
675.000000,8675.000000,4800.000000,7.050000,87.050000,80.000000
700.000000,8700.000000,4800.000000,7.000000,87.000000,80.000000
725.000000,8725.000000,4800.000000,6.950000,86.950000,80.000000
750.000000,8750.000000,4800.000000,6.900000,86.900000,80.000000
775.000000,8775.000000,4800.000000,6.850000,86.850000,80.000000
800.000000,8800.000000,4800.000000,6.800000,86.800000,80.000000
825.000000,8825.000000,4800.000000,6.750000,86.750000,80.000000
850.000000,8850.000000,4800.000000,6.700000,86.700000,80.000000
875.000000,8875.000000,4800.000000,6.650000,86.650000,80.000000
900.000000,8900.000000,4800.000000,6.600000,86.600000,80.000000
925.000000,8925.000000,4800.000000,6.550000,86.550000,80.000000
950.000000,8950.000000,4800.000000,6.500000,86.500000,80.000000
975.000000,8975.000000,4800.000000,6.450000,86.450000,80.000000
1000.000000,9000.000000,4800.000000,6.400000,86.400000,80.000000
